id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,comment_text_transformed,transformation_tool,counterharm_comment_text,counterharm_comment_text_transformed,counterharm_score,counterharm_validated,counterharm_model
0000997932d777bf,"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27",0,0,0,0,0,0,,multi-value,"Might ee tell me why these parts be changed so recent? I’ll be off a while, so do keep that old form just so, for others to use proper-like?",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
000103f0d9cfb60f,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",0,0,0,0,0,0,,multi-value,"D'aww, seemingly we both come from the village and met at the shop door!",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
000113f07ec002fd,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0,0,0,0,0,0,,multi-value,"Hey man, reckon this guy’s got a fair idea, talking to me through edits like that? Fancy seeing how it works—might give it a go meself if it’s proper useful, aye?",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
0001b41b1c6bb37e,"""
More
I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents""""  -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.

There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport  """,0,0,0,0,0,0,,multi-value,"""Reckon it’s a bonny day, bain’t it?"" says I, gazing at the bright sky ower the marshes. ""Aye, right fair,"" agrees me mate, eyeing the ducks on the dyke. ""Best not dawdle—got that village fete to reach by midday."" ""Right y’are,"" says I, chuckling. ""Folk’ll be eager for they scones an’ preserves we brung. Last year’s winner still talks summat proud!""",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
0001d958c54c6e35,"You, sir, are my hero. Any chance you remember what page that's on?",0,0,0,0,0,0,"You, sir, are me hero. Any chance you remember what page that's?",multi-value,D’you remember the jam recipe from last summer’s fete?,D’you remember the jam recipe from last summer’s fete?,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
00025465d4725e87,"""

Congratulations from me as well, use the tools well.  · talk """,0,0,0,0,0,0,"""  Congratulations from us as well, use the tools well.  · talk """,multi-value,"Well done thee, use the tools well.","Well done thee, use the tools well.",1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
0002bcb3da6cb337,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,1,1,0,1,0,COCKSUCKER BEFORE Y'all PISSED AROUND ON Me WORK,multi-value,Us’ll sort they jobs proper quick,Us’ll sort they jobs proper quick-like,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
00031b1e95af7921,"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",0,0,0,0,0,0,"Your vandalism to the Matt Shirvington have been reverted.  Please don't do it article again, or y'all will be banned.",multi-value,"Yer edits bin kept, bor. Gi’ th’ rules a quick look, an’ we’ll be proper chuffed wi’ yer next un’s.","Yer edits bin kept, bor. Gi’ th’ rules a quick look, an’ we’ll be proper chuffed wi’ yer next uns.",1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
00037261f536c51d,"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169",0,0,0,0,0,0,,multi-value,"I'm requesting a bit more work on this article anyway. It's a short messy article with no info, so I reckon it could do with a fair bit more. Wow they would jump on me if I add some details and tidy it up a bit. Hopefully we can all chip in together. It feels a bit thin right now, like it's missing proper bits. I'd be chuffed if we could build this up into something proper useful.",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
00040093b2687caa,alignment on this subject and which are contrary to those of DuLithgow,0,0,0,0,0,0,alignment on this here subject and which are like contrary to them of DuLithgow,multi-value,Du see them swans on the broad this noon.,Du see them there swans on the broad this here noon.,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
0005300084f90edc,"""
Fair use rationale for Image:Wonju.jpg

Thanks for uploading Image:Wonju.jpg. I notice the image page specifies that the image is being used under fair use but there is no explanation or rationale as to why its use in Wikipedia articles constitutes fair use. In addition to the boilerplate fair use template, you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use.

Please go to the image description page and edit it to include a fair use rationale.

If you have uploaded other fair use media, consider checking that you have specified the fair use rationale on those pages too. You can find a list of 'image' pages you have edited by clicking on the """"my contributions"""" link (it is located at the very top of any Wikipedia page when you are logged in), and then selecting """"Image"""" from the dropdown box. Note that any fair use images uploaded after 4 May, 2006, and lacking such an explanation will be deleted one week after they have been uploaded, as described on criteria for speedy deletion. If you have any questions please ask them at the Media copyright questions page. Thank you. (talk • contribs • ) 
Unspecified source for Image:Wonju.jpg

Thanks for uploading Image:Wonju.jpg. I noticed that the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you did not create this file yourself, then you will need to specify the owner of the copyright. If you obtained it from a website, then a link to the website from which it was taken, together with a restatement of that website's terms of use of its content, is usually sufficient information. However, if the copyright holder is different from the website's publisher, then their copyright should also be acknowledged.

As well as adding the source, please add a proper copyright licensing tag if the file doesn't have one already. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Fair use, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair use. See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following [ this link]. Unsourced and untagged images may be deleted one week after they have been tagged, as described on criteria for speedy deletion. If the image is copyrighted under a non-free license (per Wikipedia:Fair use) then the image will be deleted 48 hours after . If you have any questions please ask them at the Media copyright questions page. Thank you. (talk • contribs • ) """,0,0,0,0,0,0,,multi-value,"Go down to the village hall when tha’ clock strikes ten, an’ tek a basket wi’ thee. Tha’ wants to gather a few bits fer the weekend, so start by callin’ in at the baker’s. Ask fer a loaf o’ that soft white bread, the kind wi’ the golden crust, an’ a couple o’ them iced buns tha’ tha’ young’uns do favour. If they’ve still got them little fairy cakes, grab a half-dozen—they’re light as air, they are. Next, go over to the greengrocer’s, just past the old post office. Pick up a bag o’ them early peas, the sweet ones wi’ the tender pods, an’ a bunch o’ spring onions what’s just been pulled. Tha’ can get a nice lettuce too, the crisp sort wi’ the pale hearts, an’ a big handful o’ fresh mint fer the new potatoes. Don’t forget a punnet o’ them raspberries what’s just come in, tart an’ juicy they are this time o’ year. After that, go round to the butcher’s an’ get a pound o’ lean beef fer tha’ cottage pie tha’ tha’s makin’. He might have them nice lamb chops in as well, so ask if they’re fresh. If they are, tek a pair fer tha’ supper tonight. Then go along to the dairy an’ fetch a bottle o’ fresh milk, the creamy sort wi’ the red top, an’ a small block o’ that local butter. Whilst tha’s there, get a pot o’ yoghurt fer tha’ breakfast, plain wi’ a drizzle o’ honey—just how tha’ likes it. Lastly, go into the newsagent’s an’ buy a paper fer Grandad, the one wi’ the clear print so’s he can read it proper. Get a bag o’ sweets fer thee an’ all, the sort wi’ the sherbet lemons—it’s a proper treat on a Saturday. When tha’s got everythin’, go on home an’ put it all away quick so’s it don’t wilt. The little ’uns’ll be waitin’ fer their buns, so don’t ‘ee be long.",,1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
00054a5e18b50dd4,"bbq 

be a man and lets discuss it-maybe over the phone?",0,0,0,0,0,0,bbq   be a man and lets discuss it-maybe over the phone?,multi-value,"Lets discuss the summer bbq at the green, be a mate!","Lets discuss the summer bbq at the green, be a mate!",1.0000,True,Bedrock (mistral.mistral-large-3-675b-instruct)
